"Name","Abbr.","Name in English","From","To"
"Turun Lohko","TLo","Turku Sector","10.9.1939","31.8.1940"
"Rannikkotykistörykmentti 5","RT 5","Coastal Artillery Regiment 5","1.9.1940","16.3.1941"
"Turun Rannikkotykistörykmentti","TRT","Turku Coastal Artillery Regiment","17.3.1941","15.6.1941"
"5. Rannikkoprikaati","5.RPr","5th Coastal Brigade","16.6.1941","6.11.1941"
"7. Rannikkoprikaati","7.RPr","7th Coastal Brigade","7.11.1941","28.2.1942"
"Saaristomeren Rannikkoprikaati","SaarRPr","Archipelago Sea Coastal Brigade","1.3.1942","3.12.1944"
"Turun Rannikkotykistörykmentti","TRT","Turku Coastal Artillery Regiment","4.12.1944","30.11.1952"
"Rannikkotykistörykmentti 2","RT 2","Coastal Artillery Regiment 2","1.12.1952","31.12.1956"
"Turun Rannikkotykistörykmentti","TurRtR","Turku Coastal Artillery Regiment","1.1.1957","31.12.1989"
"Turun Rannikkorykmentti","TurRR","Turku Coastal Regiment","1.1.1990","30.6.1998"
