"#","Event year","Season","Flag bearer","Sport"
"10","2016","Summer","Chitsala, Kefasi Kefasi Chitsala","Athletics"
"9","2012","Summer","Tebulo, MikeMike Tebulo","Athletics"
"8","2008","Summer","Nyirenda, CharltonCharlton Nyirenda","Swimming"
"7","2004","Summer","Chiwina, KondwaniKondwani Chiwina","Athletics"
"6","2000","Summer","Munthali, FrancisFrancis Munthali",""
"5","1996","Summer","Mwathiwa, JohnJohn Mwathiwa","Athletics"
"4","1992","Summer","",""
"3","1988","Summer","Mambosasa, GeorgeGeorge Mambosasa",""
"2","1984","Summer","Kapito, FletcherFletcher Kapito",""
"1","1972","Summer","Matupi, MartinMartin Matupi",""
