"Year","Team","Co-Drivers","Car","Class","Laps","Pos.","Class Pos."
"2008","United States Risi Competizione","Finland Mika Salo Brazil Jaime Melo","Ferrari F430 GT2","GT2","326","19th","1st"
"2009","Italy AF Corse","Argentina Luís Pérez Companc Argentina Matías Russo","Ferrari F430 GT2","GT2","317","26th","6th"
"2010","United States Risi Competizione","Brazil Jaime Melo Germany Pierre Kaffer","Ferrari F430 GT2","GT2","116","DNF","DNF"
"2011","Italy AF Corse","Italy Giancarlo Fisichella Finland Toni Vilander","Ferrari 458 Italia GT2","GTE Pro","314","13th","2nd"
"2012","Italy AF Corse","Italy Giancarlo Fisichella Finland Toni Vilander","Ferrari 458 Italia GT2","GTE Pro","336","17th","1st"
"2013","Italy AF Corse","Italy Giancarlo Fisichella Italy Matteo Malucelli","Ferrari 458 Italia GT2","GTE Pro","311","21st","6th"
"2014","Italy AF Corse","Italy Giancarlo Fisichella Finland Toni Vilander","Ferrari 458 Italia GT2","GTE Pro","339","13th","1st"
"2015","Italy AF Corse","Italy Giancarlo Fisichella Finland Toni Vilander","Ferrari 458 Italia GT2","GTE Pro","330","25th","3rd"
"2016","Italy AF Corse","United Kingdom James Calado Italy Alessandro Pier Guidi","Ferrari 488 GTE","GTE Pro","179","DNF","DNF"
"2018","Germany Porsche GT Team","Austria Richard Lietz France Frédéric Makowiecki","Porsche 911 RSR","GTE Pro","343","16th","2nd"
