"Rank","Attendance","Opponent","Date","Venue","Metro area"
"1","61,500","New Zealand","2014-11-01","Soldier Field (NFL)","Chicago, IL"
"2","30,051","Māori All Blacks","2018-11-03","Soldier Field (NFL)","Chicago, IL"
"3","23,212","Australia","2015-09-05","Soldier Field (NFL)","Chicago, IL"
"4","22,000","Ireland","2017-06-10","Red Bull Arena (MLS)","New York, NY"
"5","20,181","Ireland","2013-06-08","BBVA Compass Stadium (MLS)","Houston, TX"
"6","20,001","Scotland","2014-06-08","BBVA Compass Stadium (MLS)","Houston, TX"
"7","18,700","Māori All Blacks","2016-11-04","Toyota Park (MLS)","Chicago, IL"
"8","18,500","Māori All Blacks","2013-11-09","PPL Park (MLS)","Philadelphia, PA"
"9","17,214","Italy","2012-06-03","BBVA Compass Stadium (MLS)","Houston, TX"
"10","16,000","South Africa","2001-12-01","Robertson Stadium (CFB)","Houston, TX"
"11","14,000","New Zealand XV","1980-10-08","San Diego Stadium (NFL)","San Diego, CA"
"12","13,591","Chile","2016-02-20","Lockhart Stadium (NASL)","Fort Lauderdale, FL"
"13","11,300","Scotland","2018-06-16","BBVA Compass Stadium (MLS)","Houston, TX"
"14","11,000","Japan","2015-07-24","Bonney Field (USL)","Sacramento, CA"
"15","10,241","Argentina XV","2016-02-06","BBVA Compass Stadium (MLS)","Houston, TX"
