"Pos","Country","Performer","Imitated artist","Points"
"1","Ireland","Rebecca O'Connor","Tina Turner","89"
"2","Italy","Walter, Davide and Pasquale Egiziano","Bee Gees","81"
"3","Spain","Connie Lynch","Bonnie Tyler","80"
"3","Belgium","Fernando Espeso Calvo","Julio Iglesias","80"
"5","Netherlands","Shanella James","Mary J. Blige","78"
"6","United Kingdom","Stewart Duff","Elvis Presley","73"
"7","Sweden","Mirna Tutnjevic","Britney Spears","63"
"8","Norway","Ronny Inderberg","Garth Brooks","61"
"9","Germany","Guido Westermann","Bon Jovi","58"
"10","Portugal","Yolanda","Shania Twain","51"
