"Year","Team","Co-Drivers","Car","Class","Laps","Pos.","Class Pos."
"2003","United States Orbit Racing","United States Leo Hindery United States Peter Baron","Porsche 911 GT3-RS","GT","314","17th","2nd"
"2004","United States Orbit Racing United States BAM!","United States Leo Hindery Germany Mike Rockenfeller","Porsche 911 GT3-RS","GT","223","DNF","DNF"
"2005","United States Alex Job Racing United States BAM! Motorsport","United States Leo Hindery Germany Mike Rockenfeller","Porsche 911 GT3-RSR","GT2","332","10th","1st"
"2009","Germany Team Felbermayr-Proton","Germany Wolf Henzler Austria Richard Lietz","Porsche 997 GT3-RSR","GT2","24","DNF","DNF"
"2010","Germany Team Felbermayr-Proton","Germany Wolf Henzler Austria Richard Lietz","Porsche 997 GT3-RSR","GT2","338","11th","1st"
"2011","Germany Team Felbermayr-Proton","Germany Wolf Henzler Austria Richard Lietz","Porsche 997 GT3-RSR","GTE Pro","312","16th","4th"
"2012","Germany Team Felbermayr-Proton","Germany Wolf Henzler Austria Richard Lietz","Porsche 997 GT3-RSR","GTE Pro","184","DNF","DNF"
"2013","Germany Porsche AG Team Manthey","France Romain Dumas Austria Richard Lietz","Porsche 911 RSR","GTE Pro","315","15th","1st"
"2014","Germany Porsche Team","France Romain Dumas Switzerland Neel Jani","Porsche 919 Hybrid","LMP1-H","348","11th","4th"
"2015","Germany Porsche Team","France Romain Dumas Switzerland Neel Jani","Porsche 919 Hybrid","LMP1","391","5th","5th"
"2016","Germany Porsche Team","France Romain Dumas Switzerland Neel Jani","Porsche 919 Hybrid","LMP1","384","1st","1st"
