"Grid","No.","Driver","Manufacturer","Qualifying time","Speed","Owner"
"1","121","Marvin Panch","'63 Ford","1:36.190","101.050","Wood Brothers"
"2","22","Fireball Roberts","'63 Ford","1:37.810","99.376","Holman-Moody"
"3","16","Darel Dieringer","'63 Mercury","1:38.110","99.072","Bill Stroppe"
"4","28","Fred Lorenzen","'63 Ford","1:38.160","99.022","Holman-Moody"
"5","4","Rex White","'63 Mercury","1:38.210","98.971","Rex White"
"6","21","Dave MacDonald","'63 Ford","1:38.400","98.780","Wood Brothers"
"7","11","Ned Jarrett","'63 Ford","1:38.420","98.760","Charles Robinson"
"8","33","Clem Proctor","'63 Pontiac","1:38.850","98.330","Clem Proctor"
"9","8","Joe Weatherly","'63 Mercury","1:39.980","97.219","Bud Moore"
"10","281","Ken Miles","'63 Ford","1:40.310","96.899","Holman-Moody"
