"No.","Block","Sente","Gote","No. of moves","Date","Guest Analyst"
"1","B","Tadashi Ōishi 4d","Akira Inaba 5d","96","April 8, 2012","Takayuki Yamasaki 7d"
"2","A","Kōru Abe 4d","Mitsunori Makino 4d","167","April 15, 2012","Osamu Nakamura 9d"
"3","B","Shinya Satō 6d","Masayuki Toyoshima 7d","106","April 22, 2012","Amahiko Satō 7d"
"4","B","Hiroshi Kobayashi 7d","Taichi Nakamura 6d","80","April 29, 2012","Eiji Iijima 7d"
"5","B","Sakio Chiba 6d","Daisuke Suzuki 8d","184","May 6, 2012","Tadao Kitajima 6d"
"6","A","Yoshikazu Minami 9d","Hisashi Namekata 8d","112","May 13, 2012","Bungo Fukusaki 9d"
"7","A","Takuya Nagase 4d","Hiroshi Kamiya 7d","67","May 20, 2012","Akira Shima 9d"
"8","A","Hiroki Nakata 8d","Shōji Seigawa 4d","103","May 27, 2012","Takahiro Toyokawa 7d"
"9","A","Osamu Nakamura 9d","Kenjirō Abe 5d","106","June 3, 2012","Hirouki Miura 8d"
"10","B","Ayumu Matsuo 7d","Toshiyuki Nakao 5d","129","June 10, 2012","Teruichi Aono 9d"
"11","B","Kōichi Fukaura 9d","Keita Kadokura 4d","85","June 17, 2012","Kazuo Ishida [ja] 9d"
"12","B","Amahiko Satō 7d","Kazutoshi Satō 5d","131","June 24, 2012","Makoto Tobe 6d"
"13","B","Keita Inoue 9d","Akira Shima 9d","86","July 1, 2012","Yoshikazu Minami 9d"
"14","B","Tomomi Kai W-4d","Hirotaka Notsuki 7d","86","July 8, 2012","Yūsuke Tōyama 5d"
"15","A","Masataka Sugimoto 7d","Tatsuya Sugai 5d","115","July 15, 2012","Takashi Abe 8d"
"16","A","Takanori Hashimoto 8d","Atsushi Miyata 6d","133","July 22, 2012","Akira Watanabe Ryūō"
"17","A","Shingo Hirafuji 7d","Chikara Akutsu 7d","112","July 29, 2012","Mamoru Hatakeyama 7d"
"18","A","Kensuke Kitahama 7d","Takayuki Yamasaki 7d","86","August 5, 2012","Masayuki Toyoshima 7d"
