"Draw","Country","Artist","Song","Language","Place","Points"
"01","France","Guy Bonnet","%INLINEQ%Vivre%INLINEQ%","French","8","56"
"02","Norway","Jahn Teigen","%INLINEQ%Do Re Mi%INLINEQ%","Norwegian","9","53"
"03","United Kingdom","Sweet Dreams","%INLINEQ%I'm Never Giving Up%INLINEQ%","English","6","79"
"04","Sweden","Carola Häggkvist","%INLINEQ%Främling%INLINEQ%","Swedish","3","126"
"05","Italy","Riccardo Fogli","%INLINEQ%Per Lucia%INLINEQ%","Italian","11","41"
"06","Turkey","Çetin Alp & the Short Waves","%INLINEQ%Opera%INLINEQ%","Turkish","19","0"
"07","Spain","Remedios Amaya","%INLINEQ%¿Quién maneja mi barca?%INLINEQ%","Spanish","19","0"
"08","Switzerland","Mariella Farré","%INLINEQ%Io così non ci sto%INLINEQ%","Italian","15","28"
"09","Finland","Ami Aspelund","%INLINEQ%Fantasiaa%INLINEQ%","Finnish","11","41"
"10","Greece","Christie Stasinopoulou","%INLINEQ%Mou les%INLINEQ% (Μου λες)","Greek","14","32"
"11","Netherlands","Bernadette","%INLINEQ%Sing Me a Song%INLINEQ%","Dutch","7","66"
"12","Yugoslavia","Daniel","%INLINEQ%Džuli%INLINEQ%","Serbo-Croatian","4","125"
"13","Cyprus","Stavros & Constantina","%INLINEQ%I agapi akoma zi%INLINEQ% (Η αγάπη ακόμα ζει)","Greek","16","26"
"14","Germany","Hoffmann & Hoffmann","%INLINEQ%Rücksicht%INLINEQ%","German","5","94"
"15","Denmark","Gry Johansen","%INLINEQ%Kloden drejer%INLINEQ%","Danish","17","16"
"16","Israel","Ofra Haza","%INLINEQ%Hi%INLINEQ% (חי)","Hebrew","2","136"
"17","Portugal","Armando Gama","%INLINEQ%Esta balada que te dou%INLINEQ%","Portuguese","13","33"
"18","Austria","Westend","%INLINEQ%Hurricane%INLINEQ%","German","9","53"
"19","Belgium","Pas de Deux","%INLINEQ%Rendez-vous%INLINEQ%","Dutch","18","13"
"20","Luxembourg","Corinne Hermès","%INLINEQ%Si la vie est cadeau%INLINEQ%","French","1","142"
