"#","Event year","Season","Opening flag bearer","Sport","Closing flag bearer","Sport"
"23","2018","Winter","Oleksii Bychenko","Figure skating","Itamar Biran","Alpine skiing"
"22","2016","Summer","Neta Rivkin","Gymnastics","Alona Koshevatskiy","Gymnastics"
"21","2014","Winter","Vladislav Bykanov","Short track speed skating","Vladislav Bykanov","Short track speed skating"
"20","2012","Summer","Shahar Tzuberi","Sailing","Neta Rivkin","Gymnastics"
"19","2010","Winter","Alexandra Zaretsky","Figure skating","Mykhaylo Renzhyn","Alpine skiing"
"18","2008","Summer","Michael Kolganov","Canoeing","Shahar Tzuberi","Sailing"
"17","2006","Winter","Galit Chait","Figure skating","Galit Chait","Figure skating"
"16","2004","Summer","Ariel Ze'evi","Judo","Gal Fridman","Sailing"
"15","2002","Winter","Galit Chait","Figure skating","",""
"14","2000","Summer","Rogel Nachum","Athletics","",""
"13","1998","Winter","Michael Shmerkin","Figure skating","",""
"12","1996","Summer","Lydia Hatuel-Zuckerman","Fencing","",""
"11","1994","Winter","Michael Shmerkin","Figure skating","",""
"10","1992","Summer","Eldad Amir","Sailing","",""
"9","1988","Summer","Itzhak Yonassi","Shooting","",""
"8","1984","Summer","Zehava Shmueli","Athletics","",""
"7","1976","Summer","Esther Roth-Shahamorov","Athletics","",""
"6","1972","Summer","Henry Herscovici","Shooting","",""
"5","1968","Summer","Gershon Shefa","Swimming","",""
"4","1964","Summer","Gideon Ariel","Athletics","",""
"3","1960","Summer","Gideon Ariel","Athletics","",""
"2","1956","Summer","Yoav Ra'anan","Diving","",""
"1","1952","Summer","Abraham Shneior","Basketball","",""
