"Party","votes","percentage","number of candidates","mandates won in ridings","seats"
"SPD","3816639","46,02","151","108","108"
"CDU","3124758","37,67","151","43","89"
"GRÜNE","830861","10,02","151","","24"
"FDP","332634","4,01","151","",""
"REP","65509","0,79","105","",""
"Graue","58155","0,70","116","",""
"ÖDP","21159","0,26","88","",""
"Naturgesetz","12948","0,16","68","",""
"Tierschutz","9936","0,12","28","",""
"DKP","6008","0,07","47","",""
"PBC","5777","0,07","20","",""
"Statt","3034","0,04","10","",""
"RP","2757","0,03","5","",""
"BüSo","850","0,01","10","",""
"CM","556","0,01","3","",""
"APD","516","0,01","2","",""
"Familie","273","0,00","1","",""
"UAP","152","0,00","3","",""
"Bewußtsein","103","0,00","2","",""
"HP","40","0,00","1","",""
"Einzelbewerber","1570","0,02","9","",""
"Total","8294235","","1122","151","221"
