"Rank","Building","Address","Height","Floors","Completed"
"1","Waverley Park Towers Residential","405 Waverley Street","50 m (160 ft)","16","1970"
"2","Maplecrest Towers Residential","560 Beverly Street","45 m (148 ft)","14","1988"
"3","Bay View Towers Residential","199 Academy Drive","40 m (130 ft)","12",""
"4","Red River Towers Residential","844 Red River Road","39 m (128 ft)","11",""
"5","Clark Towers Residential","9 Regent Street","37 m (121 ft)","8","1979"
"6","P. R. Cook Apartments Residential","63 Carrie Street","37 m (121 ft)","8",""
"7","Paterson Court Residential","148 May Street","36 m (118 ft)","10","1983"
"8","Whalen Building Office","34 North Cumberland Street","35 m (115 ft)","8","1913"
"9","Royal Edward Arms Mixed use","114 May Street South","35 m (115 ft)","8","1928"
"10","West Arthur Place Mixed use","1265 Arthur Street East","33 m (108 ft)","7",""
"11","Prince Arthur Hotel Hotel","17 North Cumberland Street","32 m (105 ft)","6","1911"
