"Rank","Name","Image","Height m (ft)","Floors","Year","City","Notes"
"1","Midland Square","","247 (810)","47","2007","Nagoya","Tallest building in Aichi Prefecture"
"2","JR Central Office Tower","","245 (804)","51","2000","Nagoya",""
"3","JR Central Hotel Tower","","226 (741)","53","2000","Nagoya",""
"4","JR Gate Tower","","211 (693)","46","2016","Nagoya",""
"5","JP Tower","","196 (642)","40","2015","Nagoya",""
"6","Nagoya Lucent Tower","","180 (591)","40","2007","Nagoya",""
"7","Dai-Nagoya Building","","175 (574)","34","2015","Nagoya",""
"8","Mode Gakuen Spiral Towers","","170 (558)","36","2008","Nagoya",""
"8","Global Gate SKY TOWER","","170 (558)","36","2017","Nagoya",""
"10","The Lions Mid Capital Tower","","162 (531)","47","2009","Nagoya",""
"11","The Scene Johoku","","160 (524)","45","1996","Nagoya",""
"12","Grand Maison Ikeshita the Tower","","153 (501)","42","2013","Nagoya",""
"13","Grand Maison Misonoza Tower","","150 (492)","41","2017","Nagoya",""
"14","Kanayama Minami Building","","135 (441)","31","1998","Nagoya",""
"15","Aqua Town Nayabashi","","118 (386)","33","2006","Nagoya",""
"16","Alpen Marunouchi Tower","","116 (380)","25","2007","Nagoya",""
"17","Symphony TOYOTA Building","","115 (377)","25","2016","Nagoya",""
"18","NADYA Park","","114 (373)","23","1996","Nagoya",""
"19","Hilton Nagoya","","111 (362)","25","1989","Nagoya",""
"20","AXIOS CHIKUSA","","108 (356)","31","2004","Nagoya",""
"21","NAGOYA PRIME CENTRAL TOWERAXIOS CHIKUSA","","106 (348)","23","2009","Nagoya",""
"22","Nagoya International Center","","102 (335)","26","1984","Nagoya",""
"23","Sumitomo Life Nagoya Building","","102 (334)","26","1974","Nagoya",""
"24","Urbanet Nagoya Building","","101 (335)","22","2005","Nagoya",""
"25","Grand-Suite Chikusa Tower","","101 (332)","30","2010","Nagoya",""
