"Year","Team","G","GS","Rec","Yards","AVG","LG","TD","Att","Yards","AVG","LG","TD"
"2005","NO","0","0","","","","","","","","","",""
"2006","NO","4","0","1","10","10.0","10","0","","","","",""
"2007","NO","16","4","32","302","9.4","22","2","2","7","3.5","7","1"
"2008","NO","16","6","79","928","11.7","70","10","0","0","0","0","0"
"2009","NO","7","0","14","153","10.9","22","2","0","0","0","0","0"
"2010","NO","16","1","66","763","11.6","80","8","0","0","0","28",""
"2011","NO","14","7","52","627","12.1","47","8","0","0","0","0","0"
"2012","NO","15","7","65","1,041","16.0","51","6","0","0","0","0","0"
"2013","NO","13","5","37","457","12.4","44","2","0","0","0","0","0"
"2014","PIT","14","2","14","198","14.1","29","2","0","0","0","0","0"
"2015","DET","14","8","29","337","11.6","42","4","0","0","0","0","0"
"Career","-","115","32","360","4,479","12.4","80","44","2","7","3.5","7","1"
