"No.","Title","Lyrics","Music","Year of composition","Length"
"1.",""El Día Que Me Quieras"","Carlos Gardel","Alfredo Le Pera","1934","3:58"
"2.",""Sin Ti"","Pepe Guízar","Guízar","1940","3:00"
"3.",""Somos Novios"","Armando Manzanero","Manzanero","1968","3:10"
"4.",""La Media Vuelta"","José Alfredo Jiménez","Jiménez","1963","2:42"
"5.",""Solamente una Vez"","Agustín Lara","Lara","1941","2:58"
"6.",""Todo y Nada"","Vicente Garrido","Garrido","1957","3:35"
"7.",""Historia de un Amor"","Carlos E. Almarán","Almarán","1955","3:55"
"8.",""Cómo Yo Te Amé"","Manzanero","Manzanero","1986","3:30"
"9.",""Nosotros"","Pedro Junco","Junco","1943","4:00"
"10.",""Yo Sé Que Volverás"","Luis Pérez Sabido","Manzanero","1993","3:35"
"11.",""Delirio"","César Portillo de la Luz","Portillo de la Luz","1956","4:34"
