"Draw","State","Artist","Song","English translation","Place","Points"
"01","Hamburg","Selig","%INLINEQ%Von Ewigkeit zu Ewigkeit%INLINEQ%","From eternity to eternity","8","40"
"02","Rhineland-Palatinate","Auletta","%INLINEQ%Sommerdiebe%INLINEQ%","Summer thieves","14","17"
"03","Saxony","Blockflöte des Todes (de) & Diane Weigmann (de)","%INLINEQ%Alles wird teurer%INLINEQ%","Everything gets more expensive","11","20"
"04","Bremen","Kleinstadthelden (de)","%INLINEQ%Indie Boys%INLINEQ%","—","11","20"
"05","Mecklenburg-Vorpommern","Sebastian Hämer","%INLINEQ%Is' schon ok%INLINEQ%","It's okay","10","22"
"06","Lower Saxony","Bernd Begemann & Dirk Darmstaedter (de)","%INLINEQ%So geht das jede Nacht%INLINEQ%","That's how it is every night","16","4"
"07","Brandenburg","Das Gezeichnete Ich (de)","%INLINEQ%Du, Es und Ich%INLINEQ%","You, it and me","5","87"
"08","Schleswig-Holstein","Stanfour","%INLINEQ%Sail On%INLINEQ%","—","7","60"
"09","Hesse","Oceana & Leon Taylor (de)","%INLINEQ%Far Away%INLINEQ%","—","13","18"
"10","Saarland","Mikroboy (de)","%INLINEQ%Nichts ist umsonst%INLINEQ%","Nothing's for free","15","12"
"11","Thuringia","Norman Sinn (de) & Ryo (de)","%INLINEQ%Planlos%INLINEQ%","Aimless","6","79"
"12","Bavaria","Blumentopf","%INLINEQ%SoLaLa%INLINEQ%","So-so","4","94"
"13","Saxony-Anhalt","Silly","%INLINEQ%Alles Rot%INLINEQ%","Everything red","2","152"
"14","Baden-Württemberg","Bakkushan","%INLINEQ%Springwut%INLINEQ%","Jump furor","9","39"
"15","Berlin","Ich + Ich feat. Mohamed Mounir","%INLINEQ%Yasmine%INLINEQ%","—","3","100"
"16","North Rhine-Westphalia","Unheilig","%INLINEQ%Unter deiner Flagge%INLINEQ%","Under your flag","1","164"
