"Conf. Rank","Team","Head coach","Overall record","Conf. record","PPG","PAG"
"1","Chicago","Amos A. Stagg","4–1–3","3–0–3","11.0","5.0"
"2 (tie)","Illinois","Robert Zuppke","6–1–1","3–1–1","25.5","8.9"
"2 (tie)","Iowa","Burt Ingwersen","6–1–1","3–1–1","13.3","6.3"
"4","Michigan","Fielding H. Yost","6–2","4–2","19.4","6.8"
"5","Purdue","James Phelan","5–2","2–2","19.6","6.6"
"6","Minnesota","William H. Spaulding","3-3-2","1-2-1","8.5","7.9"
"7","Ohio State","John Wilce","2–3–3","1–3–2","5.0","5.6"
"8 (tie)","Indiana","Bill Ingram","4–4","1–3","18.4","12.5"
"8 (tie)","Northwestern","Glenn Thistlethwaite","4–4","1–3","13.6","8.3"
"10","Wisconsin","John J. Ryan","2–3–3","0–2–2","8.3","11.8"
