"Rank","Name","Nation","Score","Event"
"1","Alexandra Trusova","Russia","222.89","2019 World Junior Championships"
"2","Anna Shcherbakova","Russia","219.94","2019 World Junior Championships"
"3","Alena Kostornaia","Russia","217.98","2018–19 Junior Grand Prix Final"
"4","Alena Kanysheva","Russia","198.14","2018–19 Junior Grand Prix Final"
"5","Kim Ye-lim","South Korea","196.34","2018 JGP Czech Republic"
"6","Ting Cui","United States","194.41","2019 World Junior Championships"
"7","Anastasia Tarakanova","Russia","190.69","2018 JGP Canada"
"8","Kseniia Sinitsyna","Russia","188.84","2019 World Junior Championships"
"9","Anna Tarusina","Russia","188.24","2018 JGP Slovenia"
"10","Yuna Shiraiwa","Japan","185.46","2019 World Junior Championships"
"11","Yuhana Yokoi","Japan","184.09","2018 JGP Armenia"
"12","You Young","South Korea","183.98","2018 JGP Slovakia"
"13","Viktoria Vasilieva","Russia","182.87","2018 JGP Czech Republic"
"14","Lee Hae-in","South Korea","180.48","2018 JGP Slovenia"
