"School","Location","Mascot","Colors","County","Year Joined","Previous Conference","Year Left","Conference Joined"
"Aurora","Aurora","Red Devils","","15 Dearborn","1930","Dearborn County","1956","Eastern Indiana"
"Austin","Austin","Eagles","","72 Scott","1930","","1958","Mid-Southern"
"Batesville","Batesville","Bulldogs","","69 Ripley","1930","Ripley County","1956","Eastern Indiana"
"Brookville1","Brookville","Greyhounds","","24 Franklin","1930","Franklin County","1940","Whitewater Valley"
"Brownstown","Brownstown","Bears","","36 Jackson","1930","Jackson County","1958","Mid-Southern"
"Corydon Central2","Corydon","Panthers","","31 Harrison","1930","","1958","Mid-Southern"
"French Lick","French Lick","Red Devils","","59 Orange","1930","","1939","Southwestern Indiana"
"Lawrenceburg","Lawrenceburg","Tigers","","15 Dearborn","1930","Dearborn County","1956","Eastern Indiana"
"Madison","Madison","Cubs","","39 Jefferson","1930","","1958","Independents (HHC 1973)"
"Milan","Milan","Indians","","69 Ripley","1930","Ripley County","1942","Independents (ORVC 1952)"
"North Vernon","North Vernon","Panthers","","40 Jennings","1930","","1958","Independents (EIAC 1962)"
"Oolitic","Oolitic","Bearcats","","47 Lawrence","1930","","1939","Southwestern Indiana"
"Orleans","Orleans","Bulldogs","","59 Orange","1930","","1958","Southern Monon"
"Osgood","Osgood","Cowboys","","69 Ripley","1930","Ripley County","1952","Ohio River Valley"
"Paoli","Paoli","Rams","","59 Orange","1930","","1958","Mid-Southern"
"Rising Sun","Rising Sun","Shiners","","58 Ohio","1930","","1941","Laughery Valley"
"Salem","Salem","Lions","","88 Washington","1930","","1958","Mid-Southern"
"Scottsburg","Scottsburg","Warriors","","72 Scott","1930","","1958","Mid-Southern"
"Versailles","Versailles","Lions","","69 Ripley","1930","Ripley County","1952","Ohio River Valley"
"Vevay","Vevay","Warriors","","78 Switzerland","1930","","1953","Ohio River Valley"
"Mitchell","Mitchell","Bluejackets","","47 Lawrence","1950","","1958","Mid-Southern"
