"Rank","Name","Height m / feet","Floors","Year","Notes"
"1","Vero Centre","172 / 574","38","2000",""
"2","Metropolis","155 / 508","39","1999",""
"3","ANZ Centre","143 / 469","35","1991",""
"4","PricewaterhouseCoopers Tower","142 / 465","29","2002",""
"5","Oaks Residences (The Harbour City)","130 / 426","37","2006",""
"6","Lumley Centre","125 / 410","29","2005",""
"7","The Sentinel Apartments","120 / 393","29","2007",""
"8","Quay West","117 / 383","20","1997",""
"9","ASB Bank Centre","116 / 380","29","1991",""
"10","Precinct Apartments","115 / 377","33","2003",""
"11","Crowne Plaza","110 / 360","29","1990",""
"12","Park Residences","109 / 357","29","2017",""
"13","BNZ Tower","106 / 347","28","1982",""
"14","IAG Tower","104 / 341","29","1988",""
"15","Deloitte Centre","100 / 328","23","2009",""
"16","Phillips Fox Tower","92 / 302","23","1987",""
"17","Qantas House","92 / 302","24","1986",""
"18","CityLife Auckland","90 / 295","26","1998",""
"19","City Gardens","90 / 295","28","2004",""
"20","Stamford Plaza Auckland","88 / 289","20","1983",""
"21","AMP Tower (Quay Tower)","87 / 285","22","1980",""
"22","120 Albert Street","85 / 279","26","1990",""
"23","Gen-i Tower","85 / 279","22","2000",""
"24","HSBC Building","81 / 265","20","1973",""
"25","Victoria Residences","80 / 262","26","2018",""
"26","AXA Centre","80 / 262","20","1995",""
"27","National Bank Tower","80 / 285","17","1988",""
"28","SkyCity Grand","75 / 246","24","2004",""
"29","Altitude Apartments","75 / 246","22","2004",""
"30","Telecom Tower","75 / 246","18","2000",""
"31","West Plaza Building","74 / 243","18","1974",""
"32","Civic Building (Auckland City Council)","71 / 233","20","1966",""
"33","The Quadrant Hotel","70 / 230","24","2006",""
"34","The Wiltshire On Victoria","70 / 230","21","2006",""
"35","UniLodge on Anzac","70 / 230","19","2002",""
"36","CityZone","70 / 230","20","2004",""
"37","AMP NZ Office Trust. 21 Queen St","70 / 230","17","2009",""
