"Draw","Country","Artist","Song","Language","Place","Points"
"01","Armenia","André","%INLINEQ%Without Your Love%INLINEQ%","English","6","150"
"02","Bulgaria","Mariana Popova","%INLINEQ%Let Me Cry%INLINEQ%","English","17","36"
"03","Slovenia","Anžej Dežan","%INLINEQ%Mr Nobody%INLINEQ%","English","16","49"
"04","Andorra","Jenny","%INLINEQ%Sense tu%INLINEQ%","Catalan","23","8"
"05","Belarus","Polina Smolova","%INLINEQ%Mum%INLINEQ%","English","22","10"
"06","Albania","Luiz Ejlli","%INLINEQ%Zjarr e ftohtë%INLINEQ%","Albanian","14","58"
"07","Belgium","Kate Ryan","%INLINEQ%Je t'adore%INLINEQ%","English","12","69"
"08","Ireland","Brian Kennedy","%INLINEQ%Every Song Is a Cry for Love%INLINEQ%","English","9","79"
"09","Cyprus","Annet Artani","%INLINEQ%Why Angels Cry%INLINEQ%","English","15","57"
"10","Monaco","Séverine Ferrer","%INLINEQ%La Coco-Dance%INLINEQ%","French, Tahitian","21","14"
"11","Macedonia","Elena Risteska","%INLINEQ%Ninanajna%INLINEQ% (Нинанајна)","English, Macedonian","10","76"
"12","Poland","Ich Troje feat. Real McCoy","%INLINEQ%Follow My Heart%INLINEQ%","English, Polish, German, Russian","11","70"
"13","Russia","Dima Bilan","%INLINEQ%Never Let You Go%INLINEQ%","English","3","217"
"14","Turkey","Sibel Tüzün","%INLINEQ%Süper Star%INLINEQ%","Turkish, English","8","91"
"15","Ukraine","Tina Karol","%INLINEQ%Show Me Your Love%INLINEQ%","English","7","146"
"16","Finland","Lordi","%INLINEQ%Hard Rock Hallelujah%INLINEQ%","English","1","292"
"17","Netherlands","Treble","%INLINEQ%Amambanda%INLINEQ%","English, Imaginary","20","22"
"18","Lithuania","LT United","%INLINEQ%We Are the Winners%INLINEQ%","English","5","163"
"19","Portugal","Nonstop","%INLINEQ%Coisas de nada%INLINEQ%","Portuguese, English","19","26"
"20","Sweden","Carola","%INLINEQ%Invincible%INLINEQ%","English","4","214"
"21","Estonia","Sandra Oxenryd","%INLINEQ%Through My Window%INLINEQ%","English","18","28"
"22","Bosnia and Herzegovina","Hari Mata Hari","%INLINEQ%Lejla%INLINEQ%","Bosnian","2","267"
"23","Iceland","Silvia Night","%INLINEQ%Congratulations%INLINEQ%","English","13","62"
