"","Glacier or Ice Cap","Area km²","Volume km³","Elevation m","Coordinates"
"1","Vatnajökull","8,300","3,100","2,109.6","64°24′N 16°48′W / 64.400°N 16.800°W"
"2","Langjökull","953","195","1,360","64°45′N 19°59′W / 64.750°N 19.983°W"
"3","Hofsjökull","925","208","1,765","64°49′N 18°49′W / 64.817°N 18.817°W"
"4","Mýrdalsjökull","596","140","1,493","63°40′N 19°06′W / 63.667°N 19.100°W"
"5","Drangajökull","160","","925","66°09′N 22°15′W / 66.150°N 22.250°W"
"6","Eyjafjallajökull","78","","1,666","63°38′N 19°36′W / 63.633°N 19.600°W"
"7","Tungnafellsjökull","48","","1,535","64°45′N 17°55′W / 64.750°N 17.917°W"
"8","Þórisjökull","32","","1,350","64°32′31″N 20°42′56″W / 64.54194°N 20.71556°W"
"9","Eiríksjökull","22","","1,672","64°46′24″N 20°24′34″W / 64.77333°N 20.40944°W"
"10","Þrándarjökull","22","","1,236","64°42′08″N 14°54′09″W / 64.70222°N 14.90250°W"
"11","Tindfjallajökull","19","","1,462","63°48′N 19°35′W / 63.800°N 19.583°W"
"12","Torfajökull","15","","1,190","63°53′39″N 19°07′37″W / 63.89417°N 19.12694°W"
"13","Snæfellsjökull","11","","1,446","64°48′32″N 23°46′16″W / 64.80889°N 23.77111°W"
"1-13","largest glaciers","11,181","","2,109.6",""
