"Conf. Rank","Team","Head coach","Overall record","Conf. record","PPG","PAG"
"1 (tie)","Iowa","Howard Jones","7–0","5–0","29.7","4.7"
"1 (tie)","Michigan","Fielding H. Yost","6–0–1","4–0","26.1","1.9"
"3","Chicago","Amos A. Stagg","5–1–1","4–0–1","12.6","5.3"
"4","Wisconsin","John R. Richards","4–2–1","2–2–1","14.4","3.1"
"5","Minnesota","William H. Spaulding","3-3-1","2-3-1","11.3","9.3"
"6","Illinois","Robert Zuppke","2–5","2–4","3.7","8.6"
"7","Northwestern","Glenn Thistlethwaite","3–3–1","1–3–1","17.0","13.1"
"8","Ohio State","John Wilce","3–4","1–4","6.1","8.1"
"9","Indiana","James P. Herron","1–4–2","0–2–1","3.0","16.1"
"10","Purdue","James Phelan","1–5–1","0–3–1","5.1","18.0"
