"Draw","Country","Artist","Song","Language","Place","Points"
"01","Netherlands","Thérèse Steinmetz","%INLINEQ%Ring-dinge-ding%INLINEQ%","Dutch","14","2"
"02","Luxembourg","Vicky Leandros","%INLINEQ%L'amour est bleu%INLINEQ%","French","4","17"
"03","Austria","Peter Horton","%INLINEQ%Warum es hunderttausend Sterne gibt%INLINEQ%","German","14","2"
"04","France","Noëlle Cordier","%INLINEQ%Il doit faire beau là-bas%INLINEQ%","French","3","20"
"05","Portugal","Eduardo Nascimento","%INLINEQ%O vento mudou%INLINEQ%","Portuguese","12","3"
"06","Switzerland","Géraldine","%INLINEQ%Quel cœur vas-tu briser?%INLINEQ%","French","17","0"
"07","Sweden","Östen Warnerbring","%INLINEQ%Som en dröm%INLINEQ%","Swedish","8","7"
"08","Finland","Fredi","%INLINEQ%Varjoon – suojaan%INLINEQ%","Finnish","12","3"
"09","Germany","Inge Brück","%INLINEQ%Anouschka%INLINEQ%","German","8","7"
"10","Belgium","Louis Neefs","%INLINEQ%Ik heb zorgen%INLINEQ%","Dutch","7","8"
"11","United Kingdom","Sandie Shaw","%INLINEQ%Puppet on a String%INLINEQ%","English","1","47"
"12","Spain","Raphael","%INLINEQ%Hablemos del amor%INLINEQ%","Spanish","6","9"
"13","Norway","Kirsti Sparboe","%INLINEQ%Dukkemann%INLINEQ%","Norwegian","14","2"
"14","Monaco","Minouche Barelli","%INLINEQ%Boum-Badaboum%INLINEQ%","French","5","10"
"15","Yugoslavia","Lado Leskovar","%INLINEQ%Vse rože sveta%INLINEQ%","Slovene","8","7"
"16","Italy","Claudio Villa","%INLINEQ%Non andare più lontano%INLINEQ%","Italian","11","4"
"17","Ireland","Sean Dunphy","%INLINEQ%If I Could Choose%INLINEQ%","English","2","22"
