"Rank","Attendance","Date","Opponent","Score"
"1","61,500","September 5, 2015","Northern Iowa","W 31–7"
"1","61,500","September 12, 2015","Iowa","L 17–31"
"1","61,500","September 2, 2017","Northern Iowa","W 42–24"
"1","61,500","September 9, 2017","Iowa","L 41–44 OT"
"1","61,500","November 11, 2017","#15 Oklahoma State","L 42–49"
"6","60,629","September 3, 2016","Northern Iowa","L 20–25"
"7","58,479","September 15, 2018","Oklahoma","L 27–37"
"8","57,908","October 27, 2018","Texas Tech","W 40–31"
"9","56,800","October 13, 2012","#5 Kansas State","L 21–27"
"9","56,800","August 31, 2013","Northern Iowa","L 20–28"
"9","56,800","September 14, 2013","Iowa","L 21–27"
