"Draw","Country","Artist","Song","Language","Place","Points"
"01","Netherlands","Michelle","%INLINEQ%Out on My Own%INLINEQ%","English","18","16"
"02","Iceland","Two Tricky","%INLINEQ%Angel%INLINEQ%","English","22","3"
"03","Bosnia and Herzegovina","Nino Pršeš","%INLINEQ%Hano%INLINEQ%","Bosnian, English","14","29"
"04","Norway","Haldor Lægreid","%INLINEQ%On My Own%INLINEQ%","English","22","3"
"05","Israel","Tal Sondak","%INLINEQ%En Davar%INLINEQ% (אין דבר)","Hebrew","16","25"
"06","Russia","Mumiy Troll","%INLINEQ%Lady Alpine Blue%INLINEQ%","English","12","37"
"07","Sweden","Friends","%INLINEQ%Listen to Your Heartbeat%INLINEQ%","English","5","100"
"08","Lithuania","SKAMP","%INLINEQ%You Got Style%INLINEQ%","English, Lithuanian","13","35"
"09","Latvia","Arnis Mednis","%INLINEQ%Too Much%INLINEQ%","English","18","16"
"10","Croatia","Vanna","%INLINEQ%Strings of My Heart%INLINEQ%","English","10","42"
"11","Portugal","MTM","%INLINEQ%Só sei ser feliz assim%INLINEQ%","Portuguese","17","18"
"12","Ireland","Gary O'Shaughnessy","%INLINEQ%Without Your Love%INLINEQ%","English","21","6"
"13","Spain","David Civera","%INLINEQ%Dile que la quiero%INLINEQ%","Spanish","6","76"
"14","France","Natasha St-Pier","%INLINEQ%Je n'ai que mon âme%INLINEQ%","French, English","4","142"
"15","Turkey","Sedat Yüce","%INLINEQ%Sevgiliye Son%INLINEQ%","Turkish, English","11","41"
"16","United Kingdom","Lindsay Dracass","%INLINEQ%No Dream Impossible%INLINEQ%","English","15","28"
"17","Slovenia","Nuša Derenda","%INLINEQ%Energy%INLINEQ%","English","7","70"
"18","Poland","Piasek","%INLINEQ%2 Long%INLINEQ%","English","20","11"
"19","Germany","Michelle","%INLINEQ%Wer Liebe lebt%INLINEQ%","German, English","8","66"
"20","Estonia","Tanel Padar, Dave Benton & 2XL","%INLINEQ%Everybody%INLINEQ%","English","1","198"
"21","Malta","Fabrizio Faniello","%INLINEQ%Another Summer Night%INLINEQ%","English","9","48"
"22","Greece","Antique","%INLINEQ%Die for You%INLINEQ%","Greek, English","3","147"
"23","Denmark","Rollo & King","%INLINEQ%Never Ever Let You Go%INLINEQ%","English","2","177"
