"Year","Winner","Age","Jockey","Trainer","Owner","Time"
"2018","Bound for Nowhere","4","Julio A. Garcia","Wesley A. Ward","Wesley A. Ward",""
"2017","Holding Gold","4","Joel Rosario","Mark E. Casse","Live Oak Plantation","1:02.29"
"2016","Undrafted","6","Joe Bravo","Wesley A. Ward","Welker/Kumin","1:02.96"
"2015","Something Extra","7","Shaun Bridgmohan","Gail Cox","Menary/Cox","1:02.85"
"2014","Marchman","4","Robby Albarado","W. Bret Calhoun","Martin Racing Stable","1:02.36"
"2013","Havelock","6","Garrett Gomez","Darrin Miller","Silverton Hill","1:03.02"
"2012","Perfect Officer","6","Javier Castellano","Tony Dutrow","David A. Ross Racing Stable","1:01.53"
"2011","Stratford Hill","4","John Velazquez","Todd Pletcher","Eugene Melnyk","1:03.90"
"2010","Silver Timber","7","Julien Leparoux","Chad Brown","Michael Dubb/Peter Randazzo","1:01.87"
"2009","Heros Reward","7","Javier Castellano","Dale Capuano","Rob Ry Farm/Jayne M. Slysz","1:04.24"
"2008","Mr. Nightlinger","4","Jamie Theriot","W. Bret Calhoun","Martin Racing Stable/Carl Moore","1:03.84"
"2007","The Nth Degree","6","Eddie Castro","Eduardo Caramori","Rodney J. Winkler","1:03.94"
"2006","Atticus Kristy","5","Garrett Gomez","Merrill R. Scherer","Centaur Farms","1:01.83"
"2005","Soaring Free","6","Jerry Bailey","Mark Frostad","Sam-Son Farm","1:02.22"
"2004","Soaring Free","5","Shane Sellers","Mark Frostad","Sam-Son Farm","1:01.78"
"2003","No Jacket Required","6","Brice Blanc","Thomas M. Amoss","W. Temple Webber, Jr.","1:03.25"
"2002","Morluc","6","Robby Albarado","Randy L. Morse","Michael P. Cloonan","1:03.25"
"2001","Airbourne Command","6","Jorge Chavez","Richard Saland","Richard Saland","1:02.71"
"2000","Bold Fact","5","Richard Migliore","John C. Kimmel","Juddmonte Farms","1:02.60"
"1999","Prankster","6","Shane Sellers","Thomas M. Amoss","Karnak Galactic Racing","1:02.60"
"1998","Sesaro","6","Shane Sellers","Charles Lopresti","Henryk de Kwiatkowski","1:02.20"
"1997","G.H.'s Pleasure","5","Jose A. Santos","Kenneth E. Hoffman","Tony Canonie et al.","1:03.00"
