"Single","Year","Chart Position","Country","Album"
"Pour Some Sugar on Me","2016","8","UK Commercial Pop Club","StaePumped Vol. 1"
"How Much Is That Hottie In The Window","2015","22","UK Commercial Pop Club",""
"Pointing Fingers","2013","8","UK Commercial Pop Club","Live It Up"
"Pointing Fingers","2013","21","USA Dance","Live It Up"
"Is This Love","2012","2","UK Commercial Pop Club","Live It Up"
"Is This Love","2012","3","UK Upfront Breakers","Live It Up"
"I Am A Woman","2012","5","UK Commercial Pop","Live It Up"
"I Am A Woman (Rough Loaderz Remix)","2012","6","UK Commercial pop Club","I Am a Woman (Remixes)"
"Live It Up Feat. Snoop Dogg","2011","2","UK Commercial Pop Club","Live It Up"
"Live It Up Feat. Snoop Dogg","2011","8","UK Upfront Club","Live It Up"
"I Hear A Symphony","2010","9","UK Commercial Pop Club","Upside Down"
"Band Of Gold","2010","17","UK Commercial Pop Club","Upside Down"
