"Rank","Name","Image","Height ft (m)","Floors","Year","City","Notes"
"1","RSA Battle House Tower","-","745 (227)","35","2007","Mobile",""
"2","Wells Fargo Tower","-","454 (138)","34","1986","Birmingham",""
"3","Regions-Harbert Plaza","-","437 (133)","32","1989","Birmingham",""
"4","RSA–BankTrust Building","","424 (129)","34","1965","Mobile",""
"5","RSA Tower","-","397 (121)","22","1996","Montgomery",""
"6","AT&T City Center","-","391 (119)","30","1972","Birmingham",""
"7","Regions Center","-","390 (119)","30","1972","Birmingham",""
"8","Turquoise Place I","","377 (115)","30","2009","Orange Beach",""
"9","Renaissance Riverview Plaza Hotel","-","374 (114)","28","1983","Mobile",""
"10","Saturn V Dynamic Test Stand","-","374 (114)","31","1964","Huntsville",""
"11","Mobile Marriott","-","326 (99)","20","1979","Mobile",""
"12","City Federal Building","-","325 (99)","27","1913","Birmingham",""
"13","Mobile Government Plaza","-","325 (99)","12","1994","Mobile",""
"14","Alabama Power Headquarters Building","","321 (98)","18","1990","Birmingham",""
"15","Turquoise Place II","","304 (93)","24","2008","Orange Beach",""
"16","Renaissance Tower","","300 (92)","4","1991","Florence",""
"17","Thomas Jefferson Hotel","-","287 (87)","20","1929","Birmingham",""
"18","John Hand Building","-","284 (86)","20","1912","Birmingham",""
"19","Daniel Building","-","283 (86)","20","1970","Birmingham",""
"20","Two North Twentieth","","273 (83)","17","1962","Birmingham",""
