"Draw","Country","Artist","Song","Language","Place","Points"
"01","Portugal","Carlos Mendes",""Verão"","Portuguese","11","5"
"02","Netherlands","Ronnie Tober",""Morgen"","Dutch","16","1"
"03","Belgium","Claude Lombard",""Quand tu reviendras"","French","7","8"
"04","Austria","Karel Gott",""Tausend Fenster"","German","13","2"
"05","Luxembourg","Chris Baldo & Sophie Garel",""Nous vivrons d'amour"","French","11","5"
"06","Switzerland","Gianni Mascolo",""Guardando il sole"","Italian","13","2"
"07","Monaco","Line & Willy",""À chacun sa chanson"","French","7","8"
"08","Sweden","Claes-Göran Hederström",""Det börjar verka kärlek, banne mej"","Swedish","5","15"
"09","Finland","Kristina Hautala",""Kun kello käy"","Finnish","16","1"
"10","France","Isabelle Aubret",""La source"","French","3","20"
"11","Italy","Sergio Endrigo",""Marianne"","Italian","10","7"
"12","United Kingdom","Cliff Richard",""Congratulations"","English","2","28"
"13","Norway","Odd Børre",""Stress"","Norwegian","13","2"
"14","Ireland","Pat McGuigan",""Chance of a Lifetime"","English","4","18"
"15","Spain","Massiel",""La, la, la"","Spanish","1","29"
"16","Germany","Wenche Myhre",""Ein Hoch der Liebe"","German","6","11"
"17","Yugoslavia","Dubrovački trubaduri",""Jedan dan"","Serbo-Croatian","7","8"
