"Year","R class in service at start of year","R1 class in service at start of year","Quantity withdrawn","Locomotive numbers","Notes"
"1931","11","13","1","1342",""
"1932","10","13","1","1077",""
"1934","9","13","3","1126, 1152, 1338",""
"1935","6","13","1","1153",""
"1937","5","13","1","1125",""
"1939","4","13","1","1155",""
"1941","3","13","1","1336",""
"1942","2","13","1","1070",""
"1943","1","13","1","1124",""
"1949","0","13","1","1127",""
"1955","—","12","2","31154, 31335",""
"1958","—","10","2","31069, 31147",""
"1959","—","8","6","31010, 31107, 31128, 31174, 31339, 31340",""
"1960","—","2","2","31047, 31337",""
