"#","Artist","Title","Year","Label"
"1","187","Furious","2001","Big Whale"
"2","Big B","High Class White Trash","2004","Suburban Noize Records"
"3","OPM","For Them Asses","2004","Suburban Noize Records"
"4","Big B","White Trash Renegade","2005","Suburban Noize Records"
"5","OPM","California Poppy","2006","Suburban Noize Records"
"6","Big B","Random Stuff","2006","Suburban Noize Records"
"7","Big B","More To Hate","2007","Suburban Noize Records"
"8","OPM","Golden State of Mind","2009","Suburban Noize Records"
"9","Big B","American Underdog","2009","Suburban Noize Records"
"10","Big B","Good Times & Bad Advice","2010","Suburban Noize Records"
"11","Big B","Music for misfits","2011","Suburban Noize Records"
"12","Big B","Subnoize Collabos","2011","Suburban Noize Records"
"13","Big B","Fool's Gold","2013","Suburban Noize Records"
