"Rank","Home team","Score","Away team","Attendance","Date","Stadium"
"1","Atlético de Kolkata","3–0","Mumbai City","65,000","12 October 2014","Salt Lake Stadium"
"2","Kerala Blasters","0–1","Chennaiyin","61,323","30 November 2014","Jawaharlal Nehru Stadium"
"3","Kerala Blasters","3–0","Chennaiyin","60,900","13 December 2014","Jawaharlal Nehru Stadium"
"4","Kerala Blasters","2–1","Atlético de Kolkata","57,296","21 November 2014","Jawaharlal Nehru Stadium"
"5","Atlético de Kolkata","1–1","Delhi Dynamos","55,793","19 October 2014","Salt Lake Stadium"
"6","Atlético de Kolkata","0–0","Goa","53,173","14 December 2014","Salt Lake Stadium"
"7","Kerala Blasters","1–0","Goa","49,517","6 November 2014","Jawaharlal Nehru Stadium"
"8","Atlético de Kolkata","0–0","Chennaiyin","46,288","14 November 2014","Salt Lake Stadium"
"9","Kerala Blasters","1–0","Pune City","44,532","9 December 2014","Jawaharlal Nehru Stadium"
"10","Kerala Blasters","0–0","NorthEast United","43,299","4 December 2014","Jawaharlal Nehru Stadium"
