"Rank","Heat","Name","Nationality","Time","Notes"
"1","2","Justin Gatlin","United States (USA)","19.87","Q"
"2","3","Usain Bolt","Jamaica (JAM)","19.95","Q, SB"
"3","3","Anaso Jobodwana","South Africa (RSA)","20.01","Q, PB"
"4","2","Alonso Edward","Panama (PAN)","20.02","Q"
"5","2","Femi Ogunode","Qatar (QAT)","20.05","q, NR"
"6","3","Ramil Guliyev","Turkey (TUR)","20.10","q"
"7","1","Zharnel Hughes","Great Britain & N.I. (GBR)","20.14","Q"
"7","3","Miguel Francis","Antigua and Barbuda (ANT)","20.14",""
"9","1","Nickel Ashmeade","Jamaica (JAM)","20.19","Q"
"10","1","Churandy Martina","Netherlands (NED)","20.20","SB"
"11","1","Lykourgos-Stefanos Tsakonas","Greece (GRE)","20.22",""
"12","3","Roberto Skyers","Cuba (CUB)","20.23",""
"13","3","Daniel Talbot","Great Britain & N.I. (GBR)","20.27","PB"
"14","2","Yancarlos Martínez","Dominican Republic (DOM)","20.31",""
"15","1","Christophe Lemaitre","France (FRA)","20.34",""
"15","3","Kenji Fujimitsu","Japan (JPN)","20.34",""
"17","1","Akani Simbine","South Africa (RSA)","20.37",""
"18","1","Warren Weir","Jamaica (JAM)","20.43",""
"19","1","Brendon Rodney","Canada (CAN)","20.46",""
"20","2","Abdul Hakim Sani Brown","Japan (JPN)","20.47",""
"21","2","Jeremy Dodson","Samoa (SAM)","20.53",""
"22","2","Reynier Mena","Cuba (CUB)","20.56",""
"23","2","Julian Forte","Jamaica (JAM)","20.57",""
"24","3","Kei Takase","Japan (JPN)","20.64",""
