"Rank","Heat","Athlete","Nationality","Result","Points","Notes"
"1","1","Larbi Bouraada","Algeria (ALG)","4:14.97","846","SB"
"2","1","Kim Kun-Woo","South Korea (KOR)","4:15.63","842","SB"
"3","2","Ashton Eaton","United States (USA)","4:18.94","819","PB"
"4","2","Leonel Suárez","Cuba (CUB)","4:24.16","783","SB"
"5","2","Eelco Sintnicolaas","Netherlands (NED)","4:25.40","775",""
"6","2","Mihail Dudaš","Serbia (SRB)","4:26.06","771","SB"
"7","1","Romain Barras","France (FRA)","4:29.19","750",""
"8","1","Oleksiy Kasyanov","Ukraine (UKR)","4:29.35","749",""
"9","2","Mikk Pahapill","Estonia (EST)","4:35.41","709","SB"
"10","2","Pascal Behrenbruch","Germany (GER)","4:36.64","702",""
"11","2","Aleksey Drozdov","Russia (RUS)","4:41.73","669","SB"
"12","2","Jan Felix Knobel","Germany (GER)","4:43.12","661","PB"
"13","1","Keisuke Ushiro","Japan (JPN)","4:43.87","656",""
"14","2","Trey Hardee","United States (USA)","4:45.68","645","SB"
"15","2","Thomas van der Plaetsen","Belgium (BEL)","4:45.86","644",""
"16","1","Luiz Alberto de Araújo","Brazil (BRA)","4:47.29","635",""
"17","1","Brent Newdick","New Zealand (NZL)","4:47.30","635",""
"18","1","Andres Raja","Estonia (EST)","4:52.28","605",""
"19","1","Damian Warner","Canada (CAN)","4:54.37","593",""
"20","1","Dmitriy Karpov","Kazakhstan (KAZ)","4:58.41","569",""
"21","2","Roman Šebrle","Czech Republic (CZE)","4:56.50","580",""
"22","1","Ryan Harlan","United States (USA)","5:21.63","442",""
