"No.","Date","Teams","Sport","Competition","Crowd"
"1","10 January 2016","Hobart Hurricanes v. Perth Scorchers","Cricket","BBL","18,149"
"2","26 December 2016","Hobart Hurricanes v. Melbourne Stars","Cricket","BBL","18,079"
"3","8 January 2017","Hobart Hurricanes v. Sydney Thunder","Cricket","BBL","17,939"
"4","3 June 2016","North Melbourne v. Richmond","Australian rules football","AFL","17,844"
"5","9 May 2015","North Melbourne v. Richmond","Australian rules football","AFL","17,554"
"6","1 January 2016","Hobart Hurricanes v. Sydney Thunder","Cricket","BBL","17,151"
"7","2 January 2017","Hobart Hurricanes v. Adelaide Strikers","Cricket","BBL","16,815"
"8","14 January 2003","Australia v. England","Cricket","ODI","16,719"
"9","20 August 2016","North Melbourne v. Sydney Swans","Australian rules football","AFL","16,485"
"10","4 January 2016","Hobart Hurricanes v. Melbourne Renegades","Cricket","BBL","16,412"
