"No. overall","No. in season","Title","Directed by","Written by","Original air date","U.S. viewers (millions)"
"1","1","%INLINEQ%Uno%INLINEQ%","Vince Gilligan","Vince Gilligan & Peter Gould","February 8, 2015","6.88"
"2","2","%INLINEQ%Mijo%INLINEQ%","Michelle MacLaren","Peter Gould","February 9, 2015","3.42"
"3","3","%INLINEQ%Nacho%INLINEQ%","Terry McDonough","Thomas Schnauz","February 16, 2015","3.23"
"4","4","%INLINEQ%Hero%INLINEQ%","Colin Bucksey","Gennifer Hutchison","February 23, 2015","2.87"
"5","5","%INLINEQ%Alpine Shepherd Boy%INLINEQ%","Nicole Kassell","Bradley Paul","March 2, 2015","2.71"
"6","6","%INLINEQ%Five-O%INLINEQ%","Adam Bernstein","Gordon Smith","March 9, 2015","2.57"
"7","7","%INLINEQ%Bingo%INLINEQ%","Larysa Kondracki","Gennifer Hutchison","March 16, 2015","2.67"
"8","8","%INLINEQ%RICO%INLINEQ%","Colin Bucksey","Gordon Smith","March 23, 2015","2.87"
"9","9","%INLINEQ%Pimento%INLINEQ%","Thomas Schnauz","Thomas Schnauz","March 30, 2015","2.38"
"10","10","%INLINEQ%Marco%INLINEQ%","Peter Gould","Peter Gould","April 6, 2015","2.53"
