"No.","Artist","Song","Language","Qualification","Placing","Points"
"01","Dopu Cena","%INLINEQ%Trasmetta%INLINEQ%","Corsican","Winner Liet Corsica 2012","2","86"
"02","Enkore","%INLINEQ%Muxurik muxu%INLINEQ%","Basque","","8","41"
"03","Claudia Crabuzza & Claudio Gabriel Sanna","%INLINEQ%Ara%INLINEQ%","Catalan (of Alghero)","Jury award and public award SUNS 2012","5","64"
"04","Brian Ó hEadhra","%INLINEQ%Fathainn%INLINEQ%","Scottish Gaelic","","5","64"
"05","Ivan Belosludtsev & 4 Cheber Pios","%INLINEQ%Tau Tynyd%INLINEQ% (Тау тыныд)","Udmurt","","9","35"
"06","Asturiana Mining Company [es]","%INLINEQ%Si nun conoces Vaḷḷouta%INLINEQ%","Asturian","Winner Premiu al Meyor Cantar 2012","4 Public award","66"
"07","Yldau [fy]","%INLINEQ%Fjoer%INLINEQ%","West Frisian","Winner Liet 2012","7","52"
"08","JoNoKognos","%INLINEQ%Mai mai%INLINEQ%","Friulian","Public award SUNS 2012 (2nd place)","11","32"
"09","Lleuwen","%INLINEQ%Ar Gouloù Bev%INLINEQ%","Breton","","1 Jury award","87"
"10","Inger Karoline Gaup [nn]","%INLINEQ%Oainnát go?%INLINEQ%","Sámi","Winner Sámi Grand Prix 2012","9","35"
"11","The Voodoolectric","%INLINEQ%Slickermuul%INLINEQ%","Low German","","3","76"
