"No.","Year","Film","Role","Director","Notes"
"1","2016","Aanandam","Swetha","Ganesh Raj","Uncredited"
"2","2017","Oru Mexican Aparatha","Ardra","Tom Emmatty",""
"3","2017","Tiyaan","Indhu","Jiyen Krishnakumar",""
"4","2017","Adam Joan","Niya","Jinu V Abraham",""
"5","2017","Masterpiece","Athira","Ajai Vasudevan",""
"6","2018","Sakhavinte Priyasakhi","Lissy","Sidhique Thamarassery",""
"7","2018","Kaly","Andriya","Najeem Koya",""
"8","2018","Haram","Geethu","","Musical Album"
"9","2018","Mercy Killing","","","Short film"
"10","2018","Vikadakumaran","Mini","Boban Samuel",""
"11","2018","Neerali","Lakshmi","Ajoy Varma",""
"12","2018","Mandharam","Remya","Vijesh Vijay","Filming"
"13","2018","Purple","","Parthasarathi","Filming"
