"Conf. Rank","Team","Head coach","AP final","AP high","Overall record","Conf. record","PPG","PAG","MVP"
"1","Iowa","Forest Evashevski","#3","#3","9–1","5–1","21.9","8.4","Ken Ploen"
"2","Michigan","Bennie Oosterbaan","#7","#5","7–2","5–2","25.9","13.7","Dick Hill"
"3","Minnesota","Murray Warmath","#12","#6","6–1–2","4–1–2","14.1","9.7","Bobby Cox"
"4 (tie)","Michigan State","Duffy Daugherty","#9","#1","7–2","4–2","26.6","9.7","James Hinsley"
"4 (tie)","Ohio State","Woody Hayes","#15","#4","6–3","4–2","17.8","9.0","Jim Parker"
"6","Northwestern","Ara Parseghian","NR","NR","4–4–1","3–3–1","11.9","12.4","Al Viola"
"7 (tie)","Purdue","Jack Mollenkopf","NR","#17","3–4–2","1–4–2","15.4","13.6","Lamar Lundy"
"7 (tie)","Illinois","Ray Eliot","NR","#13","2–5–2","1–4–2","13.8","17.1","Dave Walker"
"9","Wisconsin","Milt Bruhn","NR","NR","1–5–3","0–4–3","10.3","14.3","Dave Howard"
"10","Indiana","Bernie Crimmins","NR","NR","3–6","1–5","14.3","29.2","Bob Fee"
