"Zone","Name of Building","Image","Height(m)","Number of floors","Staturs","Year"
"A22","Taipei 101 (臺北101)","-","509.2","101","Completed","2004"
"A7","Taipei Sky Tower (臺北天空塔)","","280","46","Under Construction","2021"
"A15/18/20","Taipei Nan Shan Plaza (臺北南山廣場)","-","272","48","Completed","2018"
"A25","Fubon Xinyi A25 (富邦信義A25)","","266","52","Under Construction","2020"
"A26","Xinyi Municipal Tower (信義區公所都市更新)","","234","46","Under Planning",""
"A3","Cathay Landmark (國泰置地廣場)","-","212","46","Completed","2015"
"A1","Farglory Financial Center (遠雄金融中心)","Farglory Financial Center 20150423.JPG","208.3","32","Completed","2012"
"B6","Hua Nan Bank Headquarters (華南銀行總行世貿大樓)","-","154.5","27","Completed","2014"
"A2","Uni-President International Tower (統一國際大樓)","-","154","30","Completed","2004"
"Station","Taipei City Hall Bus Station (市府轉運站)","-","151","31","Completed","2010"
