"No.","Year","Name of Elected MLA","Party","Runner candidate","Party","References"
"1","1962","Jagannath Singh","INC","Panna Lal","IND",""
"2","1967","Ramakant Dwivedi","INC","Panna Lal","IND",""
"3","1969","Panna Lal","BKD","Ramakant Dwivedi","INC",""
"4","1974","Ramakant Dwivedi","INC","Jagannath Singh","BJS",""
"5","1977","Jagannath Singh","JNP","Rabendra Pal Singh","INC",""
"6","1980","Ram Pyare Pandey","INC","Achal Singh","JNP",""
"7","1985","Achal Singh","LKD","Ram Pyare Pandey","INC",""
"8","1989","Achal Singh","JD","Ram Singh","INC",""
"9","1991","Abhimanyu Singh","JD","Amarjeet Singh","BJP",""
"10","1993","Amarjeet Singh","BJP","Achal Singh","SP",""
"11","1996","Rajendra Singh Patel","BSP","Amarjeet Singh","BJP",""
"12","2002","Amarjeet Singh","BJP","Sukhdev Prasad Verma","BSP",""
"13","2007","Sukhdev Prasad Verma","BSP","Rajendra Singh Patel","BJP",""
"14","2012","Sukhdev Prasad Verma","BSP","Rajendra Singh Patel","BJP",""
"15","2017","Karan Singh Patel","BJP","Rameshwar Dayal","SP",""
