"Draw","Country","Artist","Song","Language","Place","Points"
"01","Iceland","Beathoven","%INLINEQ%Þú og þeir (Sókrates)%INLINEQ%","Icelandic","16","20"
"02","Sweden","Tommy Körberg","%INLINEQ%Stad i ljus%INLINEQ%","Swedish","12","52"
"03","Finland","Boulevard","%INLINEQ%Nauravat silmät muistetaan%INLINEQ%","Finnish","20","3"
"04","United Kingdom","Scott Fitzgerald","%INLINEQ%Go%INLINEQ%","English","2","136"
"05","Turkey","MFÖ","%INLINEQ%Sufi%INLINEQ%","Turkish","15","37"
"06","Spain","La Década","%INLINEQ%La chica que yo quiero (Made in Spain)%INLINEQ%","Spanish","11","58"
"07","Netherlands","Gerard Joling","%INLINEQ%Shangri-La%INLINEQ%","Dutch","9","70"
"08","Israel","Yardena Arazi","%INLINEQ%Ben Adam%INLINEQ% (בן אדם)","Hebrew","7","85"
"09","Switzerland","Céline Dion","%INLINEQ%Ne partez pas sans moi%INLINEQ%","French","1","137"
"10","Ireland","Jump the Gun","%INLINEQ%Take Him Home%INLINEQ%","English","8","79"
"11","Germany","Maxi & Chris Garden","%INLINEQ%Lied für einen Freund%INLINEQ%","German","14","48"
"12","Austria","Wilfried","%INLINEQ%Lisa Mona Lisa%INLINEQ%","German","21","0"
"13","Denmark","Hot Eyes","%INLINEQ%Ka' du se hva' jeg sa'?%INLINEQ%","Danish","3","92"
"14","Greece","Afroditi Frida","%INLINEQ%Clown%INLINEQ% (Κλόουν)","Greek","17","10"
"15","Norway","Karoline Krüger","%INLINEQ%For vår jord%INLINEQ%","Norwegian","5","88"
"16","Belgium","Reynaert","%INLINEQ%Laissez briller le soleil%INLINEQ%","French","18","5"
"17","Luxembourg","Lara Fabian","%INLINEQ%Croire%INLINEQ%","French","4","90"
"18","Italy","Luca Barbarossa","%INLINEQ%Vivo (Ti scrivo)%INLINEQ%","Italian","12","52"
"19","France","Gérard Lenorman","%INLINEQ%Chanteur de charme%INLINEQ%","French","10","64"
"20","Portugal","Dora","%INLINEQ%Voltarei%INLINEQ%","Portuguese","18","5"
"21","Yugoslavia","Srebrna krila","%INLINEQ%Mangup%INLINEQ%","Serbo-Croatian","6","87"
