"#","Event year","Season","Flag bearer","Sport"
"40","2018","Winter","Elena Møller Rigas","Speed skating"
"39","2016","Summer","Caroline Wozniacki","Tennis"
"38","2014","Winter","Lene Nielsen","Curling"
"37","2012","Summer","Kim Wraae Knudsen","Canoeing"
"36","2010","Winter","Sophie Fjellvang-Sølling","Freestyle skiing"
"35","2008","Summer","Joachim Olsen","Athletics"
"34","2006","Winter","Dorthe Holm","Curling"
"33","2004","Summer","Eskild Ebbesen","Rowing"
"32","2002","Winter","Ulrik Schmidt","Curling"
"31","2000","Summer","Jesper Bank","Sailing"
"30","1998","Winter","Helena Blach Lavrsen","Curling"
"29","1996","Summer","Thomas Stuer-Lauridsen","Badminton"
"28","1994","Winter","Michael Tyllesen","Figure skating"
"27","1992","Summer","Jørgen Bojsen-Møller","Sailing"
"26","1992","Winter","Ebbe Hartz","Cross-country skiing"
"25","1988","Summer","Anne Grethe Jensen-Törnblad","Equestrian"
"24","1988","Winter","Lars Dresler","Figure skating"
"23","1984","Summer","Michael Markussen","Cycling"
"22","1980","Summer","Jørgen Lindhardsen","Sailing"
"21","1976","Summer","Judith Andersen","Rowing"
"20","1972","Summer","Peder Pedersen","Cycling"
"19","1968","Summer","Erik Hansen","Canoeing"
"18","1968","Winter","Kirsten Carlsen","Cross-country skiing"
"17","1964","Summer","Henning Wind","Sailing"
"16","1964","Winter","Svend Carlsen","Cross-country skiing"
"15","1960","Summer","Benny Schmidt","Modern pentathlon"
"14","1960","Winter","Kurt Stille","Speed skating"
"13","1956","Summer","Ole Hviid Jensen","Shooting"
"12","1952","Summer","Erik Swane Lund","Fencing"
"11","1952","Winter","Per Cock-Clausen","Figure skating"
"10","1948","Summer","Vagn Loft","Field hockey"
"9","1948","Winter","Knud Tønsberg",""
"8","1936","Summer","Erik Hammer Sørensen","Fencing"
"7","1932","Summer","Axel Bloch","Fencing"
"6","1928","Summer","Marius Jørgensen","Athletics"
"5","1924","Summer","Peter Ryefelt","Fencing"
"4","1920","Summer","Robert Johnsen","Gymnastics"
"3","1912","Summer","Arne Højme","Race walk"
"2","1908","Summer","Aage Holm","Swimming"
"1","1906","Summer","Rudolf Andreas Kraft",""
