"Artist","Single","Released","Sales (in millions)","Source"
"Robin Thicke featuring T.I. and Pharrell","%INLINEQ%Blurred Lines%INLINEQ%","2013","14.8",""
"Lady Gaga","%INLINEQ%Poker Face%INLINEQ%","2008","14","[unreliable source?]"
"Maroon 5 featuring Christina Aguilera","%INLINEQ%Moves like Jagger%INLINEQ%","2011","13.9","[unreliable source?]"
"Pharrell Williams","%INLINEQ%Happy%INLINEQ%","2013","13.9",""
"Psy","%INLINEQ%Gangnam Style%INLINEQ%","2012","13.5",""
"Maroon 5","%INLINEQ%Sugar%INLINEQ%","2015","13.5",""
"Macklemore and Ryan Lewis featuring Wanz","%INLINEQ%Thrift Shop%INLINEQ%","2012","13.4",""
"Katy Perry featuring Juicy J","%INLINEQ%Dark Horse%INLINEQ%","2013","13.2",""
"Major Lazer & DJ Snake featuring MØ","%INLINEQ%Lean On%INLINEQ%","2015","13.1",""
"Gotye featuring Kimbra","%INLINEQ%Somebody That I Used to Know%INLINEQ%","2011","13",""
"Eminem featuring Rihanna","%INLINEQ%Love the Way You Lie%INLINEQ%","2010","12.8","[unreliable source?]"
"Ellie Goulding","%INLINEQ%Love Me like You Do%INLINEQ%","2015","12.6",""
"Drake featuring Wizkid and Kyla","%INLINEQ%One Dance%INLINEQ%","2016","12.5",""
"Bruno Mars","%INLINEQ%Just the Way You Are%INLINEQ%","2010","12.5",""
"Adele","%INLINEQ%Hello%INLINEQ%","2015","12.3",""
"John Legend","%INLINEQ%All of Me%INLINEQ%","2013","12.3",""
"Jason Mraz","%INLINEQ%I'm Yours%INLINEQ%","2008","12.2",""
"Flo Rida featuring Kesha","%INLINEQ%Right Round%INLINEQ%","2009","12",""
"Flo Rida featuring T-Pain","%INLINEQ%Low%INLINEQ%","2007","12",""
